LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3880019175576791
Amygdala;DICE;STD;0.06465279460899874
GreyMatter;DICE;MEAN;0.7025848850275488
GreyMatter;DICE;STD;0.016328816753229912
Hippocampus;DICE;MEAN;0.3268090778787882
Hippocampus;DICE;STD;0.04386581208207416
Thalamus;DICE;MEAN;0.6601542828739572
Thalamus;DICE;STD;0.11487756950198122
WhiteMatter;DICE;MEAN;0.7845084645355712
WhiteMatter;DICE;STD;0.018977203002115223
