LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.44332608697398046
Amygdala;DICE;STD;0.07601344656354585
GreyMatter;DICE;MEAN;0.5747364954627185
GreyMatter;DICE;STD;0.02185898300935391
Hippocampus;DICE;MEAN;0.4179304844943813
Hippocampus;DICE;STD;0.077920976874122
Thalamus;DICE;MEAN;0.6166705702523461
Thalamus;DICE;STD;0.1754311564428768
WhiteMatter;DICE;MEAN;0.6694430339321782
WhiteMatter;DICE;STD;0.027022778292330643
