LABEL;METRIC;STATISTIC;VALUE
Amygdala;HDRFDST;MEAN;14.000824985467158
Amygdala;HDRFDST;STD;1.294951630879875
GreyMatter;HDRFDST;MEAN;2.3714933651086367
GreyMatter;HDRFDST;STD;0.4195464446824842
Hippocampus;HDRFDST;MEAN;13.818440309536323
Hippocampus;HDRFDST;STD;1.8843320863854474
Thalamus;HDRFDST;MEAN;9.918803512430356
Thalamus;HDRFDST;STD;2.8137762671895605
WhiteMatter;HDRFDST;MEAN;3.719978795548002
WhiteMatter;HDRFDST;STD;0.40219119914941004
