SUBJECT;LABEL;DICE
117122;Amygdala;0.3515420805018296
117122;GreyMatter;0.7335487150598509
117122;Hippocampus;0.5676663495719221
117122;Thalamus;0.7500351963958891
117122;WhiteMatter;0.7939741809416462
117122-PP;Amygdala;0.3515420805018296
117122-PP;GreyMatter;0.7335487150598509
117122-PP;Hippocampus;0.5676663495719221
117122-PP;Thalamus;0.7500351963958891
117122-PP;WhiteMatter;0.7939741809416462
118528;Amygdala;0.33143904674610447
118528;GreyMatter;0.7075490355064926
118528;Hippocampus;0.4152260011315773
118528;Thalamus;0.6875658437971583
118528;WhiteMatter;0.8500853418596622
118528-PP;Amygdala;0.33143904674610447
118528-PP;GreyMatter;0.7075490355064926
118528-PP;Hippocampus;0.4152260011315773
118528-PP;Thalamus;0.6875658437971583
118528-PP;WhiteMatter;0.8500853418596622
118730;Amygdala;0.42870999030067897
118730;GreyMatter;0.7104273952931309
118730;Hippocampus;0.4694374873079266
118730;Thalamus;0.6963424283417137
118730;WhiteMatter;0.8398601323208619
118730-PP;Amygdala;0.42870999030067897
118730-PP;GreyMatter;0.7104273952931309
118730-PP;Hippocampus;0.4694374873079266
118730-PP;Thalamus;0.6963424283417137
118730-PP;WhiteMatter;0.8398601323208619
118932;Amygdala;0.4689887863451424
118932;GreyMatter;0.7270605183035117
118932;Hippocampus;0.5110049287031114
118932;Thalamus;0.7346568055014921
118932;WhiteMatter;0.8107553843258293
118932-PP;Amygdala;0.4689887863451424
118932-PP;GreyMatter;0.7270605183035117
118932-PP;Hippocampus;0.5110049287031114
118932-PP;Thalamus;0.7346568055014921
118932-PP;WhiteMatter;0.8107553843258293
120111;Amygdala;0.4237367582263054
120111;GreyMatter;0.7077445624969283
120111;Hippocampus;0.5013670287445504
120111;Thalamus;0.7277264131119984
120111;WhiteMatter;0.8613172487554739
120111-PP;Amygdala;0.4237367582263054
120111-PP;GreyMatter;0.7077445624969283
120111-PP;Hippocampus;0.5013670287445504
120111-PP;Thalamus;0.7277264131119984
120111-PP;WhiteMatter;0.8613172487554739
122317;Amygdala;0.5276073619631901
122317;GreyMatter;0.7228514941675903
122317;Hippocampus;0.5053396552488146
122317;Thalamus;0.6729939603106126
122317;WhiteMatter;0.8160203541734717
122317-PP;Amygdala;0.5276073619631901
122317-PP;GreyMatter;0.7228514941675903
122317-PP;Hippocampus;0.5053396552488146
122317-PP;Thalamus;0.6729939603106126
122317-PP;WhiteMatter;0.8160203541734717
122620;Amygdala;0.42078208187993393
122620;GreyMatter;0.7157288797617672
122620;Hippocampus;0.3919135802469136
122620;Thalamus;0.667547263270866
122620;WhiteMatter;0.8470648947059507
122620-PP;Amygdala;0.42078208187993393
122620-PP;GreyMatter;0.7157288797617672
122620-PP;Hippocampus;0.3919135802469136
122620-PP;Thalamus;0.667547263270866
122620-PP;WhiteMatter;0.8470648947059507
123117;Amygdala;0.38629684055841296
123117;GreyMatter;0.6913615290938127
123117;Hippocampus;0.31259504579094993
123117;Thalamus;0.2938934437467438
123117;WhiteMatter;0.770006508954787
123117-PP;Amygdala;0.38629684055841296
123117-PP;GreyMatter;0.6913615290938127
123117-PP;Hippocampus;0.31259504579094993
123117-PP;Thalamus;0.2938934437467438
123117-PP;WhiteMatter;0.770006508954787
123925;Amygdala;0.4486486486486487
123925;GreyMatter;0.695304340145518
123925;Hippocampus;0.3925895087427144
123925;Thalamus;0.6655228801973032
123925;WhiteMatter;0.8348467366993527
123925-PP;Amygdala;0.4486486486486487
123925-PP;GreyMatter;0.695304340145518
123925-PP;Hippocampus;0.3925895087427144
123925-PP;Thalamus;0.6655228801973032
123925-PP;WhiteMatter;0.8348467366993527
124422;Amygdala;0.5100535515812873
124422;GreyMatter;0.7137131353301506
124422;Hippocampus;0.4806120394604389
124422;Thalamus;0.7816511370300384
124422;WhiteMatter;0.781371024051871
124422-PP;Amygdala;0.5100535515812873
124422-PP;GreyMatter;0.7137131353301506
124422-PP;Hippocampus;0.4806120394604389
124422-PP;Thalamus;0.7816511370300384
124422-PP;WhiteMatter;0.781371024051871
