SUBJECT;LABEL;DICE
117122;Amygdala;0.3642238593770195
117122;GreyMatter;0.7347833511730099
117122;Hippocampus;0.5143441711515367
117122;Thalamus;0.7261997913406364
117122;WhiteMatter;0.79625824604978
117122-PP;Amygdala;0.3642238593770195
117122-PP;GreyMatter;0.7347833511730099
117122-PP;Hippocampus;0.5143441711515367
117122-PP;Thalamus;0.7261997913406364
117122-PP;WhiteMatter;0.79625824604978
118528;Amygdala;0.3425140569903745
118528;GreyMatter;0.7198674932448332
118528;Hippocampus;0.4003402497189902
118528;Thalamus;0.6748109365910413
118528;WhiteMatter;0.8364257494518853
118528-PP;Amygdala;0.3425140569903745
118528-PP;GreyMatter;0.7198674932448332
118528-PP;Hippocampus;0.4003402497189902
118528-PP;Thalamus;0.6748109365910413
118528-PP;WhiteMatter;0.8364257494518853
118730;Amygdala;0.4546213034207843
118730;GreyMatter;0.7199673581583129
118730;Hippocampus;0.4358642462509866
118730;Thalamus;0.682787337580896
118730;WhiteMatter;0.8327106950646971
118730-PP;Amygdala;0.4546213034207843
118730-PP;GreyMatter;0.7199673581583129
118730-PP;Hippocampus;0.4358642462509866
118730-PP;Thalamus;0.682787337580896
118730-PP;WhiteMatter;0.8327106950646971
118932;Amygdala;0.46427848613640965
118932;GreyMatter;0.7296803416850223
118932;Hippocampus;0.45990097342450065
118932;Thalamus;0.7316471314003702
118932;WhiteMatter;0.8055023125856059
118932-PP;Amygdala;0.46427848613640965
118932-PP;GreyMatter;0.7296803416850223
118932-PP;Hippocampus;0.45990097342450065
118932-PP;Thalamus;0.7316471314003702
118932-PP;WhiteMatter;0.8055023125856059
120111;Amygdala;0.44756050710718404
120111;GreyMatter;0.7207010184065765
120111;Hippocampus;0.46777189241246475
120111;Thalamus;0.7313057518727335
120111;WhiteMatter;0.848719022103148
120111-PP;Amygdala;0.44756050710718404
120111-PP;GreyMatter;0.7207010184065765
120111-PP;Hippocampus;0.46777189241246475
120111-PP;Thalamus;0.7313057518727335
120111-PP;WhiteMatter;0.848719022103148
122317;Amygdala;0.5210623841877702
122317;GreyMatter;0.7348394164836053
122317;Hippocampus;0.4678602154942849
122317;Thalamus;0.6573125643978422
122317;WhiteMatter;0.806160037849441
122317-PP;Amygdala;0.5210623841877702
122317-PP;GreyMatter;0.7348394164836053
122317-PP;Hippocampus;0.4678602154942849
122317-PP;Thalamus;0.6573125643978422
122317-PP;WhiteMatter;0.806160037849441
122620;Amygdala;0.4495456719273075
122620;GreyMatter;0.728777744691573
122620;Hippocampus;0.37082333664930656
122620;Thalamus;0.6662093189177323
122620;WhiteMatter;0.8368487234463742
122620-PP;Amygdala;0.4495456719273075
122620-PP;GreyMatter;0.728777744691573
122620-PP;Hippocampus;0.37082333664930656
122620-PP;Thalamus;0.6662093189177323
122620-PP;WhiteMatter;0.8368487234463742
123117;Amygdala;0.3782798833819242
123117;GreyMatter;0.7030849771325538
123117;Hippocampus;0.26882803675550265
123117;Thalamus;0.27178336637796097
123117;WhiteMatter;0.787280852122568
123117-PP;Amygdala;0.3782798833819242
123117-PP;GreyMatter;0.7030849771325538
123117-PP;Hippocampus;0.26882803675550265
123117-PP;Thalamus;0.27178336637796097
123117-PP;WhiteMatter;0.787280852122568
123925;Amygdala;0.45910698496905394
123925;GreyMatter;0.7017575775951811
123925;Hippocampus;0.368927077011531
123925;Thalamus;0.6683215066238567
123925;WhiteMatter;0.8275771689473781
123925-PP;Amygdala;0.45910698496905394
123925-PP;GreyMatter;0.7017575775951811
123925-PP;Hippocampus;0.368927077011531
123925-PP;Thalamus;0.6683215066238567
123925-PP;WhiteMatter;0.8275771689473781
124422;Amygdala;0.5025197984161267
124422;GreyMatter;0.7193702371801614
124422;Hippocampus;0.44291375032403807
124422;Thalamus;0.7755299896587383
124422;WhiteMatter;0.7820970872793209
124422-PP;Amygdala;0.5025197984161267
124422-PP;GreyMatter;0.7193702371801614
124422-PP;Hippocampus;0.44291375032403807
124422-PP;Thalamus;0.7755299896587383
124422-PP;WhiteMatter;0.7820970872793209
