LABEL;METRIC;STATISTIC;VALUE
Amygdala;HDRFDST;MEAN;13.628116006901541
Amygdala;HDRFDST;STD;1.36910704564473
GreyMatter;HDRFDST;MEAN;2.33526336431488
GreyMatter;HDRFDST;STD;0.5886807447919029
Hippocampus;HDRFDST;MEAN;13.630555029876637
Hippocampus;HDRFDST;STD;1.48592381281973
Thalamus;HDRFDST;MEAN;11.690009370117185
Thalamus;HDRFDST;STD;2.354502267268478
WhiteMatter;HDRFDST;MEAN;3.472145799703585
WhiteMatter;HDRFDST;STD;0.37974141939056016
