SUBJECT;LABEL;DICE
117122;Amygdala;0.22282820412933385
117122;GreyMatter;0.7017227181812719
117122;Hippocampus;0.29919053549190533
117122;Thalamus;0.6858286679385732
117122;WhiteMatter;0.805849235830624
117122-PP;Amygdala;0.22282820412933385
117122-PP;GreyMatter;0.7017227181812719
117122-PP;Hippocampus;0.29919053549190533
117122-PP;Thalamus;0.6858286679385732
117122-PP;WhiteMatter;0.805849235830624
118528;Amygdala;0.34332216371469604
118528;GreyMatter;0.7107944038423165
118528;Hippocampus;0.35571955719557197
118528;Thalamus;0.692813408199543
118528;WhiteMatter;0.7794719039358767
118528-PP;Amygdala;0.34332216371469604
118528-PP;GreyMatter;0.7107944038423165
118528-PP;Hippocampus;0.35571955719557197
118528-PP;Thalamus;0.692813408199543
118528-PP;WhiteMatter;0.7794719039358767
118730;Amygdala;0.454163623082542
118730;GreyMatter;0.7114138561222795
118730;Hippocampus;0.3596117551900782
118730;Thalamus;0.7025130590711817
118730;WhiteMatter;0.767645937506198
118730-PP;Amygdala;0.454163623082542
118730-PP;GreyMatter;0.7114138561222795
118730-PP;Hippocampus;0.3596117551900782
118730-PP;Thalamus;0.7025130590711817
118730-PP;WhiteMatter;0.767645937506198
118932;Amygdala;0.40103626943005183
118932;GreyMatter;0.7182151669251864
118932;Hippocampus;0.3571113704135874
118932;Thalamus;0.7421125185320051
118932;WhiteMatter;0.8029812185358645
118932-PP;Amygdala;0.40103626943005183
118932-PP;GreyMatter;0.7182151669251864
118932-PP;Hippocampus;0.3571113704135874
118932-PP;Thalamus;0.7421125185320051
118932-PP;WhiteMatter;0.8029812185358645
120111;Amygdala;0.4104251450342021
120111;GreyMatter;0.7015037714698014
120111;Hippocampus;0.38487380480661554
120111;Thalamus;0.7399887498995527
120111;WhiteMatter;0.8163925217417948
120111-PP;Amygdala;0.4104251450342021
120111-PP;GreyMatter;0.7015037714698014
120111-PP;Hippocampus;0.38487380480661554
120111-PP;Thalamus;0.7399887498995527
120111-PP;WhiteMatter;0.8163925217417948
122317;Amygdala;0.42472845396406456
122317;GreyMatter;0.7084948922877502
122317;Hippocampus;0.34864914537768793
122317;Thalamus;0.6227101819822529
122317;WhiteMatter;0.777253016581613
122317-PP;Amygdala;0.42472845396406456
122317-PP;GreyMatter;0.7084948922877502
122317-PP;Hippocampus;0.34864914537768793
122317-PP;Thalamus;0.6227101819822529
122317-PP;WhiteMatter;0.777253016581613
122620;Amygdala;0.458994708994709
122620;GreyMatter;0.7211097020476219
122620;Hippocampus;0.3105201006315141
122620;Thalamus;0.6705545835763281
122620;WhiteMatter;0.7743329232624053
122620-PP;Amygdala;0.458994708994709
122620-PP;GreyMatter;0.7211097020476219
122620-PP;Hippocampus;0.3105201006315141
122620-PP;Thalamus;0.6705545835763281
122620-PP;WhiteMatter;0.7743329232624053
123117;Amygdala;0.3617988883274381
123117;GreyMatter;0.6599436221225958
123117;Hippocampus;0.22104572303653466
123117;Thalamus;0.3296557698677606
123117;WhiteMatter;0.7504832659082223
123117-PP;Amygdala;0.3617988883274381
123117-PP;GreyMatter;0.6599436221225958
123117-PP;Hippocampus;0.22104572303653466
123117-PP;Thalamus;0.3296557698677606
123117-PP;WhiteMatter;0.7504832659082223
123925;Amygdala;0.40576537128261264
123925;GreyMatter;0.6963327964495745
123925;Hippocampus;0.3085424697414885
123925;Thalamus;0.700598972379141
123925;WhiteMatter;0.7943676774016006
123925-PP;Amygdala;0.40576537128261264
123925-PP;GreyMatter;0.6963327964495745
123925-PP;Hippocampus;0.3085424697414885
123925-PP;Thalamus;0.700598972379141
123925-PP;WhiteMatter;0.7943676774016006
124422;Amygdala;0.39695634761714055
124422;GreyMatter;0.6963179208270892
124422;Hippocampus;0.32282631690289826
124422;Thalamus;0.714766917293233
124422;WhiteMatter;0.776306944651512
124422-PP;Amygdala;0.39695634761714055
124422-PP;GreyMatter;0.6963179208270892
124422-PP;Hippocampus;0.32282631690289826
124422-PP;Thalamus;0.714766917293233
124422-PP;WhiteMatter;0.776306944651512
